,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Size_type
47700,48,580000.0,4.0,2.0,1.0,Condominium,1246.0,1,built-up 
47701,28,2880000.0,5.0,6.0,2.0,Serviced Residence (Corner),3304.0,0,built-up 
47702,28,3900000.0,5.0,6.0,2.0,Serviced Residence (Corner),3309.0,0,built-up 
47703,14,7500000.0,6.0,8.0,0.0,Bungalow (EndLot),9450.0,1,land area 
47704,28,1500000.0,2.0,2.0,0.0,Condominium,991.0,1,built-up 
47705,46,4700000.0,6.0,4.0,5.0,Bungalow,6311.0,1,land area 
47708,44,498000.0,1.0,1.0,1.0,Condominium,680.0,0,built-up 
47709,48,490000.0,4.0,2.0,1.0,Apartment,1100.0,0,built-up 
47710,8,3623400.0,4.0,4.0,1.0,Serviced Residence,2013.0,0,built-up 
47711,38,650000.0,3.0,2.0,2.0,Condominium,1473.0,0,built-up 
47712,11,469000.0,3.0,2.0,1.0,Condominium,910.0,1,built-up 
47714,41,1000000.0,4.0,3.0,0.0,2-sty Terrace/Link House,2300.0,1,land area 
47715,0,950000.0,1.0,1.0,0.0,Serviced Residence (Duplex),832.0,1,built-up 
47716,27,1480000.0,2.0,1.0,1.0,Serviced Residence,1087.0,2,built-up 
47717,9,780000.0,4.0,2.0,0.0,Condominium (Intermediate),1265.0,0,built-up 
47718,11,285000.0,3.0,2.0,1.0,Apartment (Intermediate),780.0,2,built-up 
47719,35,671000.0,2.0,2.0,1.0,Condominium,990.0,1,built-up 
47720,20,350000.0,3.0,2.0,1.0,Serviced Residence,950.0,1,built-up 
47721,28,1900000.0,3.0,2.0,1.0,Condominium,915.0,0,built-up 
47722,18,750000.0,3.0,2.0,1.0,Condominium (Corner),1253.0,2,built-up 
47723,11,720000.0,4.0,3.0,3.0,Townhouse (Duplex),3162.0,3,land area 
47724,35,2500.0,3.0,2.0,2.0,Condominium (Corner),1893.0,1,built-up 
47725,42,530000.0,3.0,2.0,2.0,Condominium,1180.0,1,built-up 
47726,29,630000.0,3.0,2.0,2.0,Condominium (Intermediate),1328.0,1,built-up 
47727,19,1368000.0,6.0,6.0,0.0,3-sty Terrace/Link House (EndLot),2530.0,1,land area 
47728,20,420000.0,3.0,2.0,1.0,Serviced Residence (Intermediate),950.0,0,built-up 
47729,14,1694050.0,2.0,2.0,2.0,Serviced Residence,1152.0,3,built-up 
47730,40,570000.0,1.0,1.0,0.0,Serviced Residence (Corner),750.0,0,built-up 
47731,25,998210.0,2.0,1.0,1.0,Serviced Residence,625.0,3,built-up 
47732,30,1440000.0,4.0,4.0,2.0,Condominium,1496.0,1,built-up 
47733,30,1200000.0,3.0,2.0,2.0,Condominium,1200.0,1,built-up 
47735,29,1000000.0,4.0,4.0,2.0,Condominium,1551.0,1,built-up 
47736,29,950000.0,5.0,3.0,2.0,Condominium,1370.0,1,built-up 
47737,29,820000.0,3.0,2.0,2.0,Condominium,1150.0,1,built-up 
47738,30,1500000.0,4.0,3.0,3.0,Condominium (Intermediate),2613.0,0,built-up 
47739,8,1180000.0,3.0,2.0,1.0,Condominium (Intermediate),1570.0,0,built-up 
47740,41,570000.0,3.0,2.0,1.0,Condominium,1388.0,0,built-up 
47741,0,1250000.0,4.0,3.0,2.0,Condominium (Intermediate),1733.0,1,built-up 
47742,11,628000.0,3.0,2.0,2.0,Condominium (Corner),1470.0,1,built-up 
47743,5,648000.0,2.0,3.0,1.0,Serviced Residence (Intermediate),823.0,2,built-up 
47744,44,599000.0,3.0,2.0,1.0,Serviced Residence (Intermediate),935.0,0,built-up 
47745,32,770000.0,4.0,3.0,3.0,2-sty Terrace/Link House (Intermediate),1470.0,1,land area 
47746,41,830000.0,4.0,4.0,3.0,Condominium (Intermediate),2024.0,1,built-up 
47749,11,418000.0,3.0,2.0,1.0,Apartment (Corner),1112.0,1,built-up 
47750,34,390000.0,2.0,1.0,2.0,Serviced Residence (EndLot),565.0,1,built-up 
47751,31,999000.0,4.0,3.0,2.0,2-sty Terrace/Link House,1650.0,0,land area 
47752,23,638000.0,4.0,3.0,3.0,2-sty Terrace/Link House (Intermediate),1200.0,1,land area 
47753,3,750000.0,4.0,3.0,3.0,2-sty Terrace/Link House (Intermediate),1760.0,2,land area 
47754,44,703000.0,3.0,2.0,2.0,Condominium (Corner),1355.0,1,built-up 
47755,44,680000.0,3.0,2.0,2.0,Condominium (Corner),1100.0,0,built-up 
47756,38,550000.0,3.0,2.0,2.0,Condominium,1100.0,2,built-up 
47757,30,3500000.0,6.0,6.0,0.0,Semi-detached House,4941.0,1,land area 
47758,38,545000.0,3.0,2.0,2.0,Condominium,1100.0,2,built-up 
47759,20,580000.0,2.0,2.0,0.0,Serviced Residence,858.0,2,built-up 
47760,14,1300000.0,2.0,1.0,0.0,Serviced Residence,1450.0,0,built-up 
47761,0,1500000.0,4.0,3.0,0.0,Condominium,1700.0,0,built-up 
47763,30,6500000.0,5.0,5.0,7.0,Condominium (Penthouse),8011.0,1,built-up 
47764,38,500000.0,3.0,2.0,2.0,Condominium,908.0,1,land area 
47765,9,1350000.0,6.0,6.0,4.0,3-sty Terrace/Link House (EndLot),1650.0,1,land area 
47767,23,675000.0,3.0,2.0,0.0,1-sty Terrace/Link House,1470.0,3,land area 
47768,21,583000.0,3.0,2.0,2.0,Serviced Residence,1015.0,3,built-up 
47769,20,830000.0,3.0,2.0,2.0,Serviced Residence (Corner),1100.0,0,built-up 
